kiscourseid,url,degree_type,degree_title,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req
UG_ACTX,https://www.undergraduate.study.cam.ac.uk/courses/archaeology-ba-hons,BA,Archaeology,A*AA,A*AA - No specific subjects required,41,41 points - No specific subjects required
UG_AETX,https://www.undergraduate.study.cam.ac.uk/courses/asian-middle-eastern-studies-ba-hons,BA,Asian and Middle Eastern Studies,A*AA,A*AA - A level/IB Higher Level in your chosen European language Robinson College only accepts applicants to Chinese and Japanese.,41,41 points - A level/IB Higher Level in your chosen European language Robinson College only accepts applicants to Chinese and Japanese.
UG_ARTX,https://www.undergraduate.study.cam.ac.uk/courses/architecture-ba-hons,BA,"Architecture, BA (Hons) and MArch",A*AA,"A*AA - You don’t have to include work of an architectural nature, such as plans or sections We want to see something that illustrates your interests, experience and ability in the visual and material arts You may want to include drawings, paintings, sculpture and/or photography If you want to show us your three-dimensional work, it’s usually sufficient for you to show it through photographs It is useful to bring to your interview: any drawings you’ve been working on, in any media such as pencil, charcoal or crayon This should include a variety of subject matter. It can be material prepared for school-leaving examinations, but creative work you’ve done outside formal courses is also welcome. Portfolio requirements can vary between Colleges. Your College will let you know what they would like you to include. Find out more about submitting a portfolio What Architecture students have studied Most Architecture students (who had studied A levels and started at Cambridge in 2018, 2019 and 2023) achieved at least A*A*A. The majority of students who studied IB achieved at least 43 points overall. Almost all had studied at least one of the subjects recommended above. Around 90% took Art & Design, plus either Mathematics, Physics or both. This information shows some of the common subjects our applicants have studied. Although these are common subject combinations, this doesn't mean they're favoured. When you're choosing your post-16 subjects, it's most important to check whether any subjects are required for your course. You can also check our guidance on choosing your high school subjects for more information. All undergraduate admissions decisions are the responsibility of the Cambridge Colleges. Please contact the relevant College admissions office if you have any queries.",41,"41 points - You don’t have to include work of an architectural nature, such as plans or sections We want to see something that illustrates your interests, experience and ability in the visual and material arts You may want to include drawings, paintings, sculpture and/or photography If you want to show us your three-dimensional work, it’s usually sufficient for you to show it through photographs It is useful to bring to your interview: any drawings you’ve been working on, in any media such as pencil, charcoal or crayon This should include a variety of subject matter. It can be material prepared for school-leaving examinations, but creative work you’ve done outside formal courses is also welcome. Portfolio requirements can vary between Colleges. Your College will let you know what they would like you to include. Find out more about submitting a portfolio What Architecture students have studied Most Architecture students (who had studied A levels and started at Cambridge in 2018, 2019 and 2023) achieved at least A*A*A. The majority of students who studied IB achieved at least 43 points overall. Almost all had studied at least one of the subjects recommended above. Around 90% took Art & Design, plus either Mathematics, Physics or both. This information shows some of the common subjects our applicants have studied. Although these are common subject combinations, this doesn't mean they're favoured. When you're choosing your post-16 subjects, it's most important to check whether any subjects are required for your course. You can also check our guidance on choosing your high school subjects for more information. All undergraduate admissions decisions are the responsibility of the Cambridge Colleges. Please contact the relevant College admissions office if you have any queries."
UG_ASTX,https://www.undergraduate.study.cam.ac.uk/courses/anglo-saxon-norse-celtic-ba-hons,BA,"Anglo-Saxon, Norse, and Celtic",A*AA,A*AA - No specific subjects required,41,41 points - No specific subjects required
UG_CETX,https://www.undergraduate.study.cam.ac.uk/courses/chemical-engineering-biotechnology-ba-hons-meng,BA,"Chemical Engineering and Biotechnology, BA (Hons) and MEng",A*A*,"A*A* - Mathematics Chemistry a third science/mathematics subject (Biology, Physics or Further Mathematics) If you’re studying a science that’s not listed as your third subject, please contact the College you wish to apply to for advice. If you’re studying IB Higher Level Mathematics, we ask for Analysis and Approaches for this course. If this isn’t an option at your school, contact the College you wish to apply to for advice.",41,"41 points - Mathematics Chemistry a third science/mathematics subject (Biology, Physics or Further Mathematics) If you’re studying a science that’s not listed as your third subject, please contact the College you wish to apply to for advice. If you’re studying IB Higher Level Mathematics, we ask for Analysis and Approaches for this course. If this isn’t an option at your school, contact the College you wish to apply to for advice."
UG_CLT4X,https://www.undergraduate.study.cam.ac.uk/courses/classics-ba-hons,BA,Classics,A*AA,"A*AA - Latin If you do not study Latin, but instead study Classical Greek, contact your shortlisted College(s) before applying. You may also wish to consider Classics (4 years).",41,"41 points - Latin If you do not study Latin, but instead study Classical Greek, contact your shortlisted College(s) before applying. You may also wish to consider Classics (4 years)."
UG_CSTX,https://www.undergraduate.study.cam.ac.uk/courses/computer-science-ba-hons-meng,BA,"Computer Science, BA (Hons) and MEng",A*A*,"A*A* - Mathematics Further Mathematics to AS or A level if your school offers it. Check the guidance on this page If you’re studying IB, we ask for Analysis and Approaches for this course. If this isn’t an option at your school, please contact your shortlisted College(s) for advice. Colleges usually require A* in Mathematics and/or Further Mathematics. Colleges may also require an A*/7 in specific subjects (usually Chemistry or Physics, if taken) as part of your offer. If your school offers Further Mathematics to AS or A level, you should take it. Additional mathematics is helpful. All candidates are strongly encouraged to take up opportunities to develop their skills. If you are not able to take Further Mathematics because it is not available at your school, contact your shortlisted College(s) before you apply. They will confirm whether you are eligible to apply to their College for Computer Science.",41,"41 points - Mathematics Further Mathematics to AS or A level if your school offers it. Check the guidance on this page If you’re studying IB, we ask for Analysis and Approaches for this course. If this isn’t an option at your school, please contact your shortlisted College(s) for advice. Colleges usually require A* in Mathematics and/or Further Mathematics. Colleges may also require an A*/7 in specific subjects (usually Chemistry or Physics, if taken) as part of your offer. If your school offers Further Mathematics to AS or A level, you should take it. Additional mathematics is helpful. All candidates are strongly encouraged to take up opportunities to develop their skills. If you are not able to take Further Mathematics because it is not available at your school, contact your shortlisted College(s) before you apply. They will confirm whether you are eligible to apply to their College for Computer Science."
UG_DESTX,https://www.undergraduate.study.cam.ac.uk/courses/design-ba-hons-mdes,BA,"Design, BA (Hons) and MDes",A*AA,"A*AA - Mathematics (A* at A level/7 at Higher Level) If you’re studying IB, we ask for Analysis and Approaches for this course. If this isn’t an option at your school, please contact the College you wish to apply to for advice.",41,"41 points - Mathematics (A* at A level/7 at Higher Level) If you’re studying IB, we ask for Analysis and Approaches for this course. If this isn’t an option at your school, please contact the College you wish to apply to for advice."
UG_ECTX,https://www.undergraduate.study.cam.ac.uk/courses/economics-ba-hons,BA,Economics,A*A*,"A*A* - Mathematics If you’re studying IB, we ask for Analysis and Approaches for this course. If this isn’t an option at your school, please contact your shortlisted College(s) for advice.",41,"41 points - Mathematics If you’re studying IB, we ask for Analysis and Approaches for this course. If this isn’t an option at your school, please contact your shortlisted College(s) for advice."
UG_EDTX,https://www.undergraduate.study.cam.ac.uk/courses/education-ba-hons,BA,Education,A*AA,A*AA - No specific subjects required,41,41 points - No specific subjects required
