kiscourseid,url,degree_type,degree_title,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req
28G3,https://www.imperial.ac.uk/study/courses/undergraduate/design-engineering/,MEng,Design Engineering,A*AA,"A* in Mathematics; A, A in two further subjects",39 points,7 in Mathematics at higher level; 6 in another subject at higher level
A100,https://www.imperial.ac.uk/study/courses/undergraduate/medicine/,MBBS/BSc,Medicine,AAA,A in Biology; A in Chemistry,38 points,"6 in Biology at higher level; 6 in Chemistry at higher level; To include: 6, 7 in Biology/Chemistry at higher level"
A102,https://www.imperial.ac.uk/study/courses/undergraduate/medicine-graduate-entry/,MBBS,Medicine (Graduate Entry) (MBBS 4YFT),2:1 (or above),Anatomy/Anatomical Science; Biochemistry,,
B101,https://www.imperial.ac.uk/study/courses/undergraduate/medical-biosciences/,BSc,Medical Biosciences,AAA,"A in Biology or Human Biology; A in Chemistry, Mathematics, Further Mathematics or Physics",38 points ,"6 in Biology at higher level; 6 in Chemistry, Mathematics or Physics at higher level"
B111,https://www.imperial.ac.uk/study/courses/undergraduate/medical-biosciences-management/,BSc,Medical Biosciences with Management,AAA,"A in Biology or Human Biology; A in Chemistry, Mathematics, Further Mathematics or Physics",38 points ,"6 in Biology at higher level; 6 in Chemistry, Mathematics or Physics at higher level"
B800,https://www.imperial.ac.uk/study/courses/undergraduate/biomedical-technology-ventures/,BSc,Biomedical Technology Ventures,A*AA,"A* in Mathematics; A in Biology, Chemistry, or Physics",39 points,"6 in Mathematics* at higher level; 6 in Biology, Chemistry or Physics at higher level; 6 in another subject (another science subject, Further Mathematics or Economics are useful, but not required)"
BH9C,https://www.imperial.ac.uk/study/courses/undergraduate/biomedical-engineering/,MEng,Biomedical Engineering,A*AA,A* in Mathematics; A in Physics,39 points,6 in Mathematics at higher level; 6 in Physics at higher level; 6 in a third subject at higher level
BJ95,https://www.imperial.ac.uk/study/courses/undergraduate/biomaterials-tissue-engineering-meng/,MEng,"Biomaterials and Tissue Engineering
",AAA,A in Mathematics; A in Chemistry or Physics,38 points,6 in Mathematics at higher level; 6 in Physics or Chemistry at higher level
C100,https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences/,BSc,Biological Sciences,AAA,"A in Biology; A in Chemistry, Mathematics or Physics",38 points,"6 in Biology at higher level; 6 in Chemistry, Mathematics or Physics at higher level; 6 in Biology at higher level"
C180,https://www.imperial.ac.uk/study/courses/undergraduate/ecology-environmental-biology/,BSc,"Ecology and Environmental Biology
",AAA,"A in Biology; A in Chemistry, Mathematics or Physics",38 points,"6 in Biology at higher level; 6 in Chemistry, Mathematics or Physics at higher level"
C1R1,https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences-language/#OptionA,BSc,Biological Sciences with Language for Science,AAA,"A in Biology; A in Chemistry, Mathematics or Physics",38 points,"6 in Biology at higher level; 6 in Chemistry, Mathematics or Physics at higher level; 6 in Biology at higher level"
C1R2,https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences-language/#OptionB,BSc,Biological Sciences with Language for Science,AAA,"A in Biology; A in Chemistry, Mathematics or Physics",38 points,"6 in Biology at higher level; 6 in Chemistry, Mathematics or Physics at higher level; 6 in Biology at higher level"
C1R4,https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences-language/#OptionC,BSc,Biological Sciences with Language for Science,AAA,"A in Biology; A in Chemistry, Mathematics or Physics",38 points,"6 in Biology at higher level; 6 in Chemistry, Mathematics or Physics at higher level; 6 in Biology at higher level"
C500,https://www.imperial.ac.uk/study/courses/undergraduate/microbiology/,BSc,"Microbiology
",AAA,"A in Biology; A in Chemistry, Mathematics or Physics",38 points,"6 in Biology at higher level; 6 in Chemistry, Mathematics or Physics at higher level"
C700,https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-bsc/,BSc,Biochemistry,AAA,"A in Chemistry; A in Biology, Mathematics or Physics",38 points,"6 in Chemistry at higher level; 6 in Biology, Mathematics or Physics at higher level; 6 in Chemistry at higher level"
C7R1,https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-language/#OptionA,BSc,Biochemistry with Language for Science,AAA,"A in Chemistry; A in Biology, Mathematics or Physics",38 points,"6 in Chemistry at higher level; 6 in Biology, Mathematics or Physics at higher level; 6 in Chemistry at higher level"
C7R2,https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-language/#OptionB,BSc,Biochemistry with Language for Science,AAA,"A in Chemistry; A in Biology, Mathematics or Physics",38 points,"6 in Chemistry at higher level; 6 in Biology, Mathematics or Physics at higher level; 6 in Chemistry at higher level"
C7R4,https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-language/#OptionC,BSc,Biochemistry with Language for Science,AAA,"A in Chemistry; A in Biology, Mathematics or Physics",38 points,"6 in Chemistry at higher level; 6 in Biology, Mathematics or Physics at higher level; 6 in Chemistry at higher level"
F100,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-bsc/,BSc,Chemistry,AAA,A in Chemistry; A in Mathematics,38 points,"6 in Chemistry at higher level; 6 in Mathematics at higher level; 6 in a third subject at higher level (Biology, Economics or Physics are preferred)"
F101,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-msci/#OptionC,MSci,Chemistry,AAA,A in Chemistry; A in Mathematics,38 points,"6 in Chemistry at higher level; 6 in Mathematics at higher level; 6 in a third subject at higher level (Biology, Economics or Physics are preferred)"
